date,price,cash,btc_holdings,position_value,total_value,return,total_score,in_target_zone,peak,drawdown
2021-05-16,46490.71,13499.24803355555,0.0,0.0,13499.24803355555,34.992480335555506,4,True,13711.43128605471,-1.54749163725134
2021-05-17,43552.14,13499.24803355555,0.0,0.0,13499.24803355555,34.992480335555506,4,True,13711.43128605471,-1.54749163725134
2021-05-18,42886.02,9449.473623488884,0.0944311085539452,4049.774410066665,13499.248033555548,34.992480335555484,4,True,13711.43128605471,-1.5474916372513534
2021-05-19,36771.87,9449.473623488884,0.0944311085539452,3472.4084477015613,12921.882071190445,29.21882071190445,4,True,13711.43128605471,-5.7583282036156325
2021-05-20,40597.4,151.2818465611099,0.3234652776615179,13131.84926333571,13283.131109896818,32.83131109896818,4,True,13711.43128605471,-3.123672264568745
2021-05-21,37350.39,151.2818465611099,0.3234652776615179,12081.554272115984,12232.836118677093,22.328361186770927,4,True,13711.43128605471,-10.78366755833457
2021-05-22,37491.5,151.2818465611099,0.3234652776615179,12127.1984574468,12278.48030400791,22.784803040079098,4,True,13711.43128605471,-10.450776087133894
2021-05-23,34716.84,10834.582522243276,0.0157385180923241,546.3916144483234,11380.9741366916,13.809741366915986,4,True,13711.43128605471,-16.99645427777709
2021-05-24,38837.76,11445.83131066862,0.0,0.0,11445.83131066862,14.458313106686202,2,False,13711.43128605471,-16.5234389329605
2021-05-25,38387.36,11445.83131066862,0.0,0.0,11445.83131066862,14.458313106686202,2,False,13711.43128605471,-16.5234389329605
2021-05-26,39295.08,11445.83131066862,0.0,0.0,11445.83131066862,14.458313106686202,2,False,13711.43128605471,-16.5234389329605
2021-05-27,38538.84,11445.83131066862,0.0,0.0,11445.83131066862,14.458313106686202,2,False,13711.43128605471,-16.5234389329605
2021-05-28,35680.92,11445.83131066862,0.0,0.0,11445.83131066862,14.458313106686202,2,False,13711.43128605471,-16.5234389329605
2021-05-29,34611.58,11445.83131066862,0.0,0.0,11445.83131066862,14.458313106686202,2,False,13711.43128605471,-16.5234389329605
2021-05-30,35662.59,11445.83131066862,0.0,0.0,11445.83131066862,14.458313106686202,2,False,13711.43128605471,-16.5234389329605
2021-05-31,37290.83,11445.83131066862,0.0,0.0,11445.83131066862,14.458313106686202,2,False,13711.43128605471,-16.5234389329605
2021-06-01,36683.51,4.547473508864641e-13,0.3120157070757029,11445.83131066862,11445.83131066862,14.458313106686202,4,True,13711.43128605471,-16.5234389329605
2021-06-02,37576.98,4.547473508864641e-13,0.3120157070757029,11724.607984469549,11724.607984469549,17.246079844695487,4,True,13711.43128605471,-14.490269178578547
2021-06-03,39229.66,4.547473508864641e-13,0.3120157070757029,12240.270103239422,12240.270103239422,22.402701032394216,4,True,13711.43128605471,-10.729450136336546
2021-06-04,36861.5,4.547473508864641e-13,0.3120157070757029,11501.366986371024,11501.366986371024,15.013669863710238,4,True,13711.43128605471,-16.118406996149595
2021-06-05,35538.4,4.547473508864641e-13,0.3120157070757029,11088.539004339162,11088.539004339162,10.885390043391617,4,True,13711.43128605471,-19.129237692225292
2021-06-06,35798.57,4.547473508864641e-13,0.3120157070757029,11169.716130849049,11169.716130849049,11.697161308490466,4,True,13711.43128605471,-18.53719792032747
2021-06-07,33582.86,4.547473508864641e-13,0.3120157070757029,10478.379808524342,10478.379808524342,4.783798085243416,3,True,13711.43128605471,-23.579241364966492
2021-06-08,33409.38,4.547473508864641e-13,0.3120157070757029,10424.251323660848,10424.251323660848,4.242513236608465,3,True,13711.43128605471,-23.974010399170428
2021-06-09,37391.58,4.547473508864641e-13,0.3120157070757029,11666.760272377713,11666.760272377713,16.66760272377713,3,True,13711.43128605471,-14.91216322366391
2021-06-10,36680.78,4.547473508864641e-13,0.3120157070757029,11444.9795077883,11444.9795077883,14.44979507788301,3,True,13711.43128605471,-16.529651288640576
2021-06-11,37339.98,4.547473508864641e-13,0.3120157070757029,11650.660261892606,11650.660261892606,16.506602618926063,3,True,13711.43128605471,-15.02958357278152
2021-06-12,35541.78,4.547473508864641e-13,0.3120157070757029,11089.593617429076,11089.593617429076,10.895936174290764,3,True,13711.43128605471,-19.121546204240467
2021-06-13,39017.37,4.547473508864641e-13,0.3120157070757029,12174.03228878432,12174.03228878432,21.740322887843195,3,True,13711.43128605471,-11.212534747076417
