date,price,cash,btc_holdings,portfolio_value,signal
2021-11-27,54805.03,182.09910917133945,0.1724945523244466,9635.668224149204,DCA
2021-11-28,57331.41,182.09910917133945,0.1724945523244466,10071.455011250642,DCA
2021-11-29,57839.55,182.09910917133945,0.1724945523244466,10159.106393068789,DCA
2021-11-30,56975.35,182.09910917133945,0.1724945523244466,10010.03660095,DCA
2021-12-01,57227.97,182.09910917133945,0.1724945523244466,10053.6121747582,DCA
2021-12-02,56522.76,182.09910917133945,0.1724945523244466,9931.967291513478,DCA
2021-12-03,53663.25,182.09910917133945,0.1724945523244466,9438.7173941962,DCA
2021-12-04,49243.39,182.09910917133945,0.1724945523244466,8676.31562215947,DCA
2021-12-05,49465.5,182.09910917133945,0.1724945523244466,8714.628387176253,DCA
2021-12-06,50552.83,182.09910917133945,0.1724945523244466,8902.186888755194,DCA
2021-12-07,50633.01,182.09910917133945,0.1724945523244466,8916.017501960569,DCA
2021-12-08,50513.04,182.09910917133945,0.1724945523244466,8895.323330518204,DCA
2021-12-09,47593.85,182.09910917133945,0.1724945523244466,8391.778958318202,DCA
2021-12-10,47191.14,182.09910917133945,0.1724945523244466,8322.313677151626,DCA
2021-12-11,49398.4,182.09910917133945,0.1724945523244466,8703.054002715284,DCA
2021-12-12,50109.99,182.09910917133945,0.1724945523244466,8825.799401203836,DCA
2021-12-13,46731.03,182.09910917133945,0.1724945523244466,8242.947208681624,DCA
2021-12-14,48387.69,182.09910917133945,0.1724945523244466,8528.712033735443,DCA
2021-12-15,48885.05,182.09910917133945,0.1724945523244466,8614.503924279528,DCA
2021-12-16,47635.92,182.09910917133945,0.1724945523244466,8399.035804134492,DCA
2021-12-17,46164.14,182.09910917133945,0.1724945523244466,8145.161771914419,DCA
