date,price,volume,sth_mvrv,lth_net_change_30d,whale_holdings_change,mvrv_score,whale_score,lth_score,total_score,strategy_signal
2023-09-03,25971.37,160541183.85,1.0717721518987342,234810.1265822785,-0.0138291139240505,1,0,1,2,DCA
2023-09-04,25816.24,228454428.06,1.0668354430379747,236708.8607594937,-0.0110021097046412,1,0,1,2,DCA
2023-09-05,25785.01,280146729.52,1.0546835443037974,239240.5063291139,-0.0079957805907172,1,2,1,4,DCA
2023-09-06,25751.71,390027105.24,1.0296202531645569,240506.3291139241,-0.0068037974683543,1,2,1,4,DCA
2023-09-07,26264.75,491838528.79,1.00873417721519,68354.43037974683,-0.0065084388185653,1,2,0,3,DCA
2023-09-08,25907.13,482397556.59,0.9939240506329112,10569.620253164589,-0.0063924050632911,1,2,0,3,DCA
2023-09-09,25898.41,105931726.4,0.9921518987341772,262025.3164556962,-0.0058966244725737,1,2,1,4,DCA
2023-09-10,25833.67,217583144.54,0.9903797468354428,267721.5189873418,-0.0049578059071729,1,2,1,4,DCA
2023-09-11,25157.07,619642052.88,0.9886075949367088,70886.07594936705,-0.0046413502109704,1,2,0,3,DCA
2023-09-12,25840.34,937711286.48,0.988987341772152,182278.48101265825,-0.0049367088607594,1,2,1,4,DCA
2023-09-13,26227.49,495397769.94,0.9924050632911392,175949.36708860757,-0.0055590717299577,1,2,1,4,DCA
2023-09-14,26533.66,649517751.61,0.9958227848101264,177848.10126582277,-0.0068248945147678,1,2,1,4,DCA
2023-09-15,26605.49,459310066.65,0.9958227848101264,180379.74683544307,-0.008976793248945,1,2,1,4,DCA
2023-09-16,26569.13,187703875.45,1.0444303797468355,169936.7088607595,-0.0112447257383965,1,0,1,2,DCA
2023-09-17,26533.12,151125765.17,1.0184177215189874,68987.3417721519,-0.0122468354430379,1,0,0,1,SELL
2023-09-18,26767.82,797114111.3,0.9924050632911392,261392.4050632911,-0.0129324894514767,1,0,1,2,DCA
2023-09-19,27219.02,670630172.73,0.998481012658228,262025.3164556962,-0.0139978902953585,1,0,1,2,DCA
2023-09-20,27126.4,581302466.15,1.0060759493670886,261392.4050632911,-0.0151793248945147,1,0,1,2,DCA
2023-09-21,26567.47,559336631.68,1.009873417721519,194936.7088607595,-0.0167827004219408,1,0,1,2,DCA
2023-09-22,26583.16,408613785.26,1.0072151898734176,186392.40506329117,-0.0183544303797467,1,0,1,2,DCA
2023-09-23,26585.41,139605320.21,1.000759493670886,184810.1265822785,-0.0198839662447256,1,0,1,2,DCA
2023-09-24,26261.44,260953441.64,0.9931645569620252,184493.6708860759,-0.0200527426160336,1,0,1,2,DCA
2023-09-25,26297.93,518905094.49,0.9855696202531644,184177.21518987344,-0.0195147679324893,1,0,1,2,DCA
2023-09-26,26212.59,338286231.16,0.9851898734177216,179113.92405063292,-0.0185443037974682,1,0,1,2,DCA
2023-09-27,26360.2,638562791.04,0.9840506329113924,176898.73417721517,-0.0180168776371307,1,0,1,2,DCA
2023-09-28,27027.2,827813877.45,0.9848101265822784,250632.9113924051,-0.0179746835443037,1,0,1,2,DCA
2023-09-29,26909.4,585322764.87,0.9851898734177214,242405.0632911392,-0.0183333333333332,1,0,1,2,DCA
2023-09-30,26964.27,195916128.74,0.9855696202531644,138607.5949367089,-0.0187552742616033,1,0,0,1,SELL
2023-10-01,27994.51,464200302.08,0.9874683544303796,136708.86075949366,-0.0194198312236286,1,0,0,1,SELL
2023-10-02,27507.22,1198411956.48,0.9867088607594936,82911.39240506334,-0.0200949367088606,1,0,0,1,SELL
2023-10-03,27428.66,620603083.21,0.9848101265822784,82911.39240506334,-0.0191139240506328,1,0,0,1,SELL
2023-10-04,27789.8,497243557.18,0.9821518987341772,82278.48101265825,-0.0166719409282699,1,0,0,1,SELL
2023-10-05,27414.59,696054430.54,0.9825316455696202,48734.177215189906,-0.0130854430379745,1,0,0,1,SELL
2023-10-06,27946.61,701648471.47,0.9840506329113924,31645.5696202532,-0.0109440928270041,1,0,0,1,SELL
2023-10-07,27973.69,205394649.0,0.989746835443038,-28481.012658227824,-0.0096624472573839,1,2,0,3,DCA
2023-10-08,27933.57,238690010.87,0.9946835443037976,-41772.15189873415,-0.0091561181434598,1,2,0,3,DCA
2023-10-09,27598.77,603964078.09,0.9973417721518988,-39240.50632911385,-0.0069409282700421,1,2,0,3,DCA
2023-10-10,27395.4,511109469.33,1.001139240506329,-35443.03797468357,-0.0052320675105484,1,2,0,3,DCA
2023-10-11,26871.21,821395574.15,1.0043670886075948,12658.227848101262,-0.0043881856540083,1,2,0,3,DCA
2023-10-12,26756.23,438531983.5,1.0075949367088608,60759.49367088609,-0.0061286919831222,1,2,0,3,DCA
2023-10-13,26862.9,496779424.55,1.010253164556962,60759.49367088609,-0.0077637130801686,1,2,0,3,DCA
2023-10-14,26854.52,157685357.78,1.0151898734177216,61392.40506329117,-0.009018987341772,1,2,0,3,DCA
2023-10-15,27177.41,297110024.59,1.0170886075949368,25316.455696202524,-0.0093565400843881,1,2,0,3,DCA
2023-10-16,28518.37,1884462991.7,1.0144303797468357,29746.83544303797,-0.008808016877637,1,2,0,3,DCA
2023-10-17,28409.46,739741149.31,1.010253164556962,53164.55696202535,-0.0077953586497889,1,2,0,3,DCA
2023-10-18,28328.07,682875511.71,1.0075949367088608,65189.87341772154,-0.0058544303797467,1,2,0,3,DCA
2023-10-19,28733.78,730081363.3,1.0060759493670886,80379.74683544302,-0.0032278481012658,1,2,0,3,DCA
2023-10-20,29684.37,1241026952.55,1.0045569620253163,97468.35443037972,-0.0019198312236286,1,2,0,3,DCA
2023-10-21,29924.08,467626116.49,1.000759493670886,101898.73417721516,-0.002837552742616,1,2,0,3,DCA
2023-10-22,30001.44,414432274.92,0.9973417721518988,99367.08860759495,-0.0051582278481012,1,2,0,3,DCA
2023-10-23,33084.08,2308556876.22,0.9969620253164556,68354.43037974683,-0.0064556962025316,1,2,0,3,DCA
2023-10-24,33923.52,2559949343.79,1.000759493670886,67721.51898734175,-0.0059810126582277,1,2,0,3,DCA
2023-10-25,34503.4,1481128342.82,1.0075949367088608,67721.51898734175,-0.0055485232067509,1,2,0,3,DCA
2023-10-26,34157.06,1248469956.72,1.0132911392405064,39240.50632911394,-0.006054852320675,1,2,0,3,DCA
2023-10-27,33907.7,1044635721.14,1.018987341772152,101265.8227848101,-0.0070358649789029,1,2,0,3,DCA
2023-10-28,34090.05,371696781.35,1.0258227848101265,104430.37974683548,-0.0074367088607594,1,2,0,3,DCA
2023-10-29,34535.38,469534963.71,1.028860759493671,70886.07594936705,-0.0065506329113923,1,2,0,3,DCA
2023-10-30,34494.56,825552244.82,1.039873417721519,181645.5696202532,-0.0056540084388184,1,2,1,4,DCA
