date,price,z_score,total_value,position,cash,borrowed,peak,dd
2024-09-14,60005.12109375,6.5334825640101,54811.52661303323,0.512577401506907,25031.410031093645,977.1524654020811,63764.32406830564,-14.04044908510595
2024-09-15,59182.8359375,6.3156059267727915,54389.82765394153,0.512577401506907,25031.19586069027,977.1524654020811,63764.32406830564,-14.70178905107182
2024-09-16,58192.5078125,6.088338880369093,53881.993666586444,0.512577401506907,25030.981690286895,977.1524654020811,63764.32406830564,-15.49821243479825
2024-09-17,60308.5390625,6.533990484139636,54966.40929581549,0.512577401506907,25030.76751988352,977.1524654020811,63764.32406830564,-13.797550434417921
2024-09-18,61649.6796875,6.769204292497889,55653.63350202996,0.512577401506907,25030.553349480146,977.1524654020811,63764.32406830564,-12.719793842066524
2024-09-19,62940.45703125,7.146162123679425,56315.042628409945,0.512577401506907,25030.33917907677,977.1524654020811,63764.32406830564,-11.682522395933933
2024-09-20,63192.9765625,7.184826000090099,56444.26426316444,0.512577401506907,25030.125008673396,977.1524654020811,63764.32406830564,-11.479867327221731
2024-09-21,63394.83984375,7.230910876833658,56547.520648923855,0.48694853143156164,25842.27989517142,164.78340850068332,63764.32406830564,-11.317932911279668
2024-09-22,63648.7109375,7.2791819839022045,56671.10668828688,0.48694853143156164,25842.24377825997,164.78340850068332,63764.32406830564,-11.12411600634292
2024-09-23,63329.80078125,7.224295633235747,56515.777739130885,0.48694853143156164,25842.20766134852,164.78340850068332,63764.32406830564,-11.367714525460928
2024-09-24,64301.96875,7.465903718397141,56989.13738690705,0.48694853143156164,25842.171544437067,164.78340850068332,63764.32406830564,-10.625356389163434
2024-09-25,63143.14453125,7.181862811150142,56424.81351848796,0.48694853143156164,25842.135427525616,164.78340850068332,63764.32406830564,-11.510371445254327
2024-09-26,65181.01953125,7.653416722091752,57417.117640067605,0.48694853143156164,25842.099310614165,164.78340850068332,63764.32406830564,-9.954165626281526
2024-09-27,65790.6640625,7.8749053925361485,57713.947032343625,0.48694853143156164,25842.063193702714,164.78340850068332,63764.32406830564,-9.48865548936225
2024-09-28,65887.6484375,7.924335957101804,57761.137314410225,0.46260110485998357,27281.43835059656,0.0,63764.32406830564,-9.414648146296793
2024-09-29,65635.3046875,7.972734930991337,57644.40281685572,0.46260110485998357,27281.43835059656,0.0,63764.32406830564,-9.597719949001794
2024-09-30,63329.5,7.474711549637512,56577.73502082689,0.46260110485998357,27281.43835059656,0.0,63764.32406830564,-11.27054846496974
2024-10-01,60837.0078125,6.92781144901068,55424.70538103451,0.46260110485998357,27281.43835059656,0.0,63764.32406830564,-13.078816107793386
2024-10-02,60632.78515625,6.882059319328981,55330.23175461582,0.46260110485998357,27281.43835059656,0.0,63764.32406830564,-13.226976741186888
2024-10-03,60759.40234375,6.91344522388133,55388.80500544759,0.46260110485998357,27281.43835059656,0.0,63764.32406830564,-13.135117771947252
2024-10-04,62067.4765625,7.231081869654946,55993.92158428019,0.46260110485998357,27281.43835059656,0.0,63764.32406830564,-12.18612852494388
2024-10-05,62089.94921875,7.225839388031902,56004.31745989058,0.4394710496169844,28717.58230606126,0.0,63764.32406830564,-12.169824932359328
2024-10-06,62818.953125,7.423214077124883,56324.693571745156,0.4394710496169844,28717.58230606126,0.0,63764.32406830564,-11.667387062067816
2024-10-07,62236.66015625,7.333141855999082,56068.792669584,0.4394710496169844,28717.58230606126,0.0,63764.32406830564,-12.068710068153523
2024-10-08,62131.96875,7.195470718677568,56022.78382739343,0.4394710496169844,28717.58230606126,0.0,63764.32406830564,-12.140864588510833
2024-10-09,60582.1015625,6.825486829149034,55341.66206773589,0.4394710496169844,28717.58230606126,0.0,63764.32406830564,-13.20905086604106
2024-10-10,60274.5,6.736653629050926,55206.48008620019,0.4394710496169844,28717.58230606126,0.0,63764.32406830564,-13.421053398038248
2024-10-11,62445.08984375,7.293076512573116,56160.39148312097,0.4394710496169844,28717.58230606126,0.0,63764.32406830564,-11.925057932142723
2024-10-12,63193.0234375,7.51476129192474,56489.086644610084,0.4174974971361352,30106.157522988702,0.0,63764.32406830564,-11.409573503676093
2024-10-13,62851.375,7.439252320608075,56346.44927705336,0.4174974971361352,30106.157522988702,0.0,63764.32406830564,-11.63326813173163
2024-10-14,66046.125,8.29823018886725,57680.249406029034,0.4174974971361352,30106.157522988702,0.0,63764.32406830564,-9.541502636739667
