total_value,date,peak,dd
32649.595213046672,2023-12-10 00:00:00+00:00,32795.27995458848,-0.4442247230196978
31694.736288661326,2023-12-11 00:00:00+00:00,32795.27995458848,-3.355798966958264
31772.4508989383,2023-12-12 00:00:00+00:00,32795.27995458848,-3.118830078799407
32314.866107804773,2023-12-13 00:00:00+00:00,32795.27995458848,-1.4648871650095117
32365.032892056355,2023-12-14 00:00:00+00:00,32795.27995458848,-1.3119176391477183
31953.015727316888,2023-12-15 00:00:00+00:00,32795.27995458848,-2.568248322435027
32069.87887395414,2023-12-16 00:00:00+00:00,32795.27995458848,-2.2119069623396914
31740.234548175627,2023-12-17 00:00:00+00:00,32795.27995458848,-3.2170647967444337
32214.253074997865,2023-12-18 00:00:00+00:00,32795.27995458848,-1.7716783646767411
32081.329556083867,2023-12-19 00:00:00+00:00,32795.27995458848,-2.176991321596325
32601.605308634782,2023-12-20 00:00:00+00:00,32795.27995458848,-0.5905564648994489
32683.27801597162,2023-12-21 00:00:00+00:00,32795.27995458848,-0.34151847086515397
32731.757718347442,2023-12-22 00:00:00+00:00,32795.27995458848,-0.1936932275894398
32634.474723349358,2023-12-23 00:00:00+00:00,32795.27995458848,-0.49033041175981934
32362.07498303094,2023-12-24 00:00:00+00:00,32795.27995458848,-1.3209369523827674
32586.87901069222,2023-12-25 00:00:00+00:00,32795.27995458848,-0.6354601765401264
32175.417832830728,2023-12-26 00:00:00+00:00,32795.27995458848,-1.8900955339185104
32522.759603360028,2023-12-27 00:00:00+00:00,32795.27995458848,-0.8309743097354492
32215.878380553848,2023-12-28 00:00:00+00:00,32795.27995458848,-1.7667224516361042
32016.89391282901,2023-12-29 00:00:00+00:00,32795.27995458848,-2.373469727464729
32038.5450420454,2023-12-30 00:00:00+00:00,32795.27995458848,-2.307450686778481
32079.318883961663,2023-12-31 00:00:00+00:00,32795.27995458848,-2.1831223018013666
32795.55500629796,2024-01-01 00:00:00+00:00,32795.55500629796,0.0
33093.26244561754,2024-01-02 00:00:00+00:00,33093.26244561754,0.0
32298.838094552673,2024-01-03 00:00:00+00:00,33093.26244561754,-2.4005622061903127
32800.29560340831,2024-01-04 00:00:00+00:00,33093.26244561754,-0.8852763993597311
32793.80761896718,2024-01-05 00:00:00+00:00,33093.26244561754,-0.904881551471268
32728.4791608051,2024-01-06 00:00:00+00:00,33093.26244561754,-1.1022886770740523
32711.121485813073,2024-01-07 00:00:00+00:00,33093.26244561754,-1.1547394592250984
33851.06520597388,2024-01-08 00:00:00+00:00,33851.06520597388,0.0
33538.24463128076,2024-01-09 00:00:00+00:00,33851.06520597388,-0.9241085111788881
33722.01447396387,2024-01-10 00:00:00+00:00,33851.06520597388,-0.38123093387097756
