date,open,high,low,close,price,volume,wt1,wt2,return_5d,return_20d,return_60d,year
2022-04-27,38117.39,39465.62,37900.6,39252.04,39252.04,1341340920.21,-43.59119186065795,-39.21592554171943,-1.8827811242422055,-22.511263108872814,-46.418453665083405,2022
2022-04-28,39252.04,40386.5,38892.1,39749.75,39749.75,1188927763.73,-40.696341694760484,-40.44694936561955,-5.092786747086464,-27.880577865269597,-47.87851495921358,2022
2022-04-29,39749.75,39922.6,38179.15,38594.22,38594.22,964020058.19,-42.82412145401729,-42.02234413785453,2.8138669469158772,-21.536230036518422,-47.52592486646965,2022
2022-04-30,38594.22,38788.01,37607.77,37650.13,37650.13,525291276.33,-48.125243026156845,-43.80922450889815,-2.9303218873347747,-22.533733615262406,-46.62924138641752,2022
2022-05-01,37650.13,38668.0,37461.76,38480.53,38480.53,659030267.75,-50.136298863676586,-45.44550125965281,-6.420493688626427,-23.56986767074154,-48.26347246256743,2022
2022-05-02,38480.53,39155.96,38057.31,38513.01,38513.01,1152557748.76,-49.03499259309752,-47.53016398423706,-7.903303325291899,-21.418009135094874,-50.018630068125034,2022
2022-05-03,38513.01,38644.5,37519.23,37725.38,37725.38,1095654277.96,-51.040917668998006,-49.58436303798224,-9.785481286073194,-22.928065933331876,-49.03786257421396,2022
2022-05-04,37725.38,40004.37,37665.8,39680.21,39680.21,1426469839.29,-44.510300395116424,-48.68062738022214,-24.201762037045672,-25.327890149774912,-51.37573616671888,2022
2022-05-05,39680.21,39831.19,35616.74,36546.86,36546.86,1920976838.73,-49.92722463268824,-48.62835882247506,-15.141492319723227,-19.25908272283857,-44.69344288401247,2022
2022-05-06,36546.86,36654.02,35318.86,36009.89,36009.89,1682230363.22,-57.63834275064904,-50.77919636186293,-19.418776341721678,-18.942518291502697,-44.01901810863627,2022
2022-05-07,36009.89,36129.02,34837.06,35469.21,35469.21,713980596.97,-62.839538277290146,-53.728851513935965,-18.476560374476904,-19.374212168807816,-42.076409370267896,2022
2022-05-08,35469.21,35503.12,33732.4,34033.77,34033.77,1413921299.77,-67.7129096103969,-59.529503817756094,-14.071141692501287,-14.75076078847568,-36.49895383320742,2022
2022-05-09,34033.77,34229.57,30068.1,30076.9,30076.9,3472851115.69,-74.97932380516042,-65.79252861087413,-0.08840671744760886,-2.076909521925474,-28.20852547968706,2022
2022-05-10,30076.9,32625.41,29836.19,31013.12,31013.12,3244062170.09,-78.169958439768,-70.92543253315387,0.9124847806347924,2.267717662718227,-30.409549248834043,2022
2022-05-11,31013.12,32136.04,28087.41,29017.21,29017.21,3967102738.94,-80.69206218033725,-75.38856350891564,2.8303548135744316,9.528655580602008,-28.158048275488923,2022
2022-05-12,29017.21,30085.67,25835.61,28915.72,28915.72,4501368166.33,-82.61632758044547,-79.1144180014278,5.188146793508852,3.022093172848539,-31.026272214560112,2022
2022-05-13,28915.72,30964.26,28700.17,29244.83,29244.83,1942170683.15,-80.6520472585933,-80.53259886478601,-1.974844784531149,4.0855084471340675,-33.972226885914544,2022
2022-05-14,29244.83,30274.18,28588.99,30050.31,30050.31,845013800.63,-78.07311932674445,-80.50838908653012,0.7726043425176021,-1.2313017735923637,-32.67686755976893,2022
2022-05-15,30050.31,31406.35,29462.91,31296.11,31296.11,810199953.22,-73.32767123553916,-78.6672913503306,-6.80582986192213,-4.63517670406961,-34.2494003248327,2022
2022-05-16,31296.11,31296.19,29104.45,29838.5,29838.5,1242326194.24,-70.11090093625081,-75.54093468928194,-1.433651155386495,0.19907166915227315,-30.200010054124704,2022
2022-05-17,29838.5,30744.47,29434.76,30415.91,30415.91,1000070390.57,-66.61232097641852,-72.03100311873824,-0.4984891130990321,3.0834849261455632,-30.302890822599093,2022
2022-05-18,30415.91,30673.66,28610.2,28667.29,28667.29,1322816665.45,-65.19420397247282,-68.81127428017034,1.4245853026219057,8.527000633823434,-27.46851899848224,2022
2022-05-19,28667.29,30505.0,28653.17,30282.48,30282.48,1453211639.97,-62.14434213726702,-66.0154420056023,-2.154480082212551,-0.30780173882719586,-25.873343266469597,2022
2022-05-20,30282.48,30725.44,28698.31,29166.15,29166.15,1692088244.46,-59.92738710169358,-63.469563546962995,1.173003636064407,3.1433356819463576,-19.77031593131079,2022
2022-05-21,29166.15,29613.15,28924.28,29410.72,29410.72,462392582.18,-58.2236102996346,-61.37238587776701,-0.7548608126560774,-1.1673974659579867,-21.039777332890864,2022
2022-05-22,29410.72,30454.36,29219.51,30264.29,30264.29,639923811.62,-53.99709436409691,-58.57310847567303,-5.508009604718955,-6.1947595664725625,-23.495512367876458,2022
2022-05-23,30264.29,30634.84,28861.27,29075.68,29075.68,1147137210.63,-52.01884277229281,-56.041733634429484,-0.21375252444655324,-8.558114547965868,-21.974928875266208,2022
2022-05-24,29075.68,29800.48,28629.55,29630.05,29630.05,826118559.89,-50.722497948214276,-53.740511346059655,-0.6001339855990828,-24.159459737664967,-24.22510255635748,2022
2022-05-25,29630.05,30189.17,29321.43,29508.27,29508.27,800315804.06,-47.63057006612343,-51.09225128768186,7.4831225280235,-25.043487808671948,-23.460778961287797,2022
