date,price,total_value,position,position_levels,peak,dd
2022-12-16,16658.44,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-17,16780.55,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-18,16742.74,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-19,16442.79,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-20,16901.12,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-21,16821.13,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-22,16816.01,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-23,16780.97,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-24,16837.16,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-25,16829.1,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-26,16916.07,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-27,16700.54,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-28,16540.47,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-29,16631.24,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-30,16599.47,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-31,16531.31,-4256.779999999992,0,0,12769.68,-133.33505616428909
2023-01-01,16613.87,-4256.779999999992,0,0,12769.68,-133.33505616428909
2023-01-02,16670.08,-4256.779999999992,1,1,12769.68,-133.33505616428909
2023-01-04,16846.82,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-05,16825.87,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-06,16946.16,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-07,16942.73,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-08,17115.81,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-09,17179.03,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-10,17442.44,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-11,17938.0,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-12,18849.0,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-13,19932.05,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-14,20954.52,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-15,20878.94,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-16,21188.92,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-17,21136.12,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-18,20678.47,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-19,21082.28,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-20,22676.2,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-21,22789.92,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-22,22714.99,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-23,22917.47,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-24,22637.8,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-25,23066.28,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-26,23009.15,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-27,23077.75,-4256.699999999993,0,0,12769.68,-133.33442968030516
2023-01-28,23031.02,-4256.699999999993,0,0,12769.68,-133.33442968030516
